KSPCB Industry ID,Company/Project Name,Consent/Order Number,Regional Pollution Office,Approval Grant Date,Certificate Validity,Actionable Document Lookup,Status
326653,Shri Channamallikarjun Cement Pipe Production,CTE-135586,BE2,01/07/2026,30/06/2031,https://karnataka.gov.in326653,STP Lead - Ready for Verification
253542,Granite Emporium Industrial Facility,AW-135585,UDP,01/07/2026,31/12/2040,https://karnataka.gov.in253542,STP Lead - Ready for Verification
